Michigan,Downwind,Covered,A,0,45,21
Michigan,Downwind,Covered,A,0.8,44,21
Michigan,Downwind,Covered,A,1.5,44,21
Michigan,Downwind,Covered,A,2.3,45,21
Michigan,Downwind,Covered,A,3,42,21
Michigan,Downwind,Covered,A,3.8,43,21
Michigan,Downwind,Covered,A,4.6,47,21
Michigan,Downwind,Covered,A,5.3,48,21
Michigan,Downwind,Covered,A,6.1,45,21
Michigan,Downwind,Covered,A,6.9,45,21
Michigan,Downwind,Covered,A,7.6,47,21
Michigan,Downwind,Covered,A,8.4,48,21
Michigan,Downwind,Covered,A,9.1,48,21
Michigan,Downwind,Covered,A,9.9,45,21
Michigan,Downwind,Covered,A,10.7,46,21
Michigan,Downwind,Covered,A,11.4,47,21
Michigan,Downwind,Covered,A,12.2,47,21
Michigan,Downwind,Covered,A,13,44,21
Michigan,Downwind,Covered,A,13.7,47,21
Michigan,Downwind,Covered,A,14.5,48,21
Michigan,Downwind,Covered,A,15.2,48,21
Michigan,Downwind,Covered,B,0,60,21
Michigan,Downwind,Covered,B,0.8,57,21
Michigan,Downwind,Covered,B,1.5,58,21
Michigan,Downwind,Covered,B,2.3,56,21
Michigan,Downwind,Covered,B,3,60,21
Michigan,Downwind,Covered,B,3.8,60,21
Michigan,Downwind,Covered,B,4.6,55,21
Michigan,Downwind,Covered,B,5.3,57,21
Michigan,Downwind,Covered,B,6.1,59,21
Michigan,Downwind,Covered,B,6.9,63,21
Michigan,Downwind,Covered,B,7.6,59,21
Michigan,Downwind,Covered,B,8.4,59,21
Michigan,Downwind,Covered,B,9.1,60,21
Michigan,Downwind,Covered,B,9.9,58,21
Michigan,Downwind,Covered,B,10.7,59,21
Michigan,Downwind,Covered,B,11.4,52,21
Michigan,Downwind,Covered,B,12.2,60,21
Michigan,Downwind,Covered,B,13,55,21
Michigan,Downwind,Covered,B,13.7,58,21
Michigan,Downwind,Covered,B,14.5,58,21
Michigan,Downwind,Covered,B,15.2,62,21
Michigan,Downwind,Covered,C,0,40,21
Michigan,Downwind,Covered,C,0.8,40,21
Michigan,Downwind,Covered,C,1.5,45,21
Michigan,Downwind,Covered,C,2.3,46,21
Michigan,Downwind,Covered,C,3,42,21
Michigan,Downwind,Covered,C,3.8,50,21
Michigan,Downwind,Covered,C,4.6,50,21
Michigan,Downwind,Covered,C,5.3,48,21
Michigan,Downwind,Covered,C,6.1,48,21
Michigan,Downwind,Covered,C,6.9,50,21
Michigan,Downwind,Covered,C,7.6,52,21
Michigan,Downwind,Covered,C,8.4,50,21
Michigan,Downwind,Covered,C,9.1,50,21
Michigan,Downwind,Covered,C,9.9,45,21
Michigan,Downwind,Covered,C,10.7,46,21
Michigan,Downwind,Covered,C,11.4,46,21
Michigan,Downwind,Covered,C,12.2,46,21
Michigan,Downwind,Covered,C,13,46,21
